rule,Accuracy,Precision,Recall,F1,MCC,TN,FP,FN,TP
base AND Max_Classifier_Prob<=0.9728,0.8723404255319149,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.6855850046480212,31,2,4,10
base AND Logistic_Prob<=0.9973,0.851063829787234,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.6519236990472961,29,4,3,11
base AND Max_Classifier_Prob<=0.9883,0.851063829787234,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.6519236990472961,29,4,3,11
base AND Max_Classifier_Prob<=0.9973,0.851063829787234,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.6519236990472961,29,4,3,11
base AND Max_Regressor_PHQ<=17.0384,0.851063829787234,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.6519236990472961,29,4,3,11
base AND Max_Regressor_PHQ<=18.3168,0.851063829787234,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.6519236990472961,29,4,3,11
base AND Max_Regressor_PHQ<=18.6152,0.851063829787234,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.6519236990472961,29,4,3,11
base AND Logistic_Prob>=0.0,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0001,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0005,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0007,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0011,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0013,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0015,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0017,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0023,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0064,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.007,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0149,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0234,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0279,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0285,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0306,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0347,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0378,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0547,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob>=0.0616,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND Logistic_Prob<=1.0,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.012,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0142,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0161,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0165,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0171,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0173,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0197,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
base AND GB_Accuracy_Prob>=0.0222,0.8297872340425532,0.6666666666666666,0.8571428571428571,0.75,0.6353285249985376,27,6,2,12
