training_data,model,scaler,objective,threshold,Dev_Accuracy,Dev_Precision,Dev_Recall,Dev_F1,Dev_MCC,Accuracy,Precision,Recall,F1,AUC,MCC,TN,FP,FN,TP,daic_train_rows,external_audio_rows,missing_daic_train_audio,missing_daic_dev_audio,missing_daic_test_audio
DAIC_only,AudioExt_RandomForest,robust,accuracy,0.3400000000000001,0.7142857142857143,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.36594202898550726,0.5319148936170213,0.2777777777777778,0.35714285714285715,0.3125,0.5303030303030303,-0.03461725937492032,20,13,9,5,107,0,30,14,15
DAIC_only,AudioExt_RandomForest,robust,f1,0.3400000000000001,0.7142857142857143,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.36594202898550726,0.5319148936170213,0.2777777777777778,0.35714285714285715,0.3125,0.5303030303030303,-0.03461725937492032,20,13,9,5,107,0,30,14,15
DAIC_only,AudioExt_SoftVotingEnsemble,standard,f1,0.19000000000000003,0.6571428571428571,0.5,0.8333333333333334,0.625,0.3822764257713037,0.5106382978723404,0.3448275862068966,0.7142857142857143,0.46511627906976744,0.5021645021645021,0.13032379999970004,14,19,4,10,107,0,30,14,15
DAIC_only,AudioExt_SoftVotingEnsemble,robust,accuracy,0.25000000000000006,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.56,0.31677613017944467,0.5106382978723404,0.3448275862068966,0.7142857142857143,0.46511627906976744,0.5151515151515151,0.13032379999970004,14,19,4,10,107,0,30,14,15
DAIC_only,AudioExt_SoftVotingEnsemble,robust,f1,0.25000000000000006,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.56,0.31677613017944467,0.5106382978723404,0.3448275862068966,0.7142857142857143,0.46511627906976744,0.5151515151515151,0.13032379999970004,14,19,4,10,107,0,30,14,15
DAIC_only,AudioExt_ExtraTrees,standard,accuracy,0.29000000000000004,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.56,0.31677613017944467,0.5106382978723404,0.32,0.5714285714285714,0.41025641025641024,0.4978354978354978,0.05157877405578002,16,17,6,8,107,0,30,14,15
DAIC_only,AudioExt_ExtraTrees,standard,f1,0.29000000000000004,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.56,0.31677613017944467,0.5106382978723404,0.32,0.5714285714285714,0.41025641025641024,0.4978354978354978,0.05157877405578002,16,17,6,8,107,0,30,14,15
DAIC_only,AudioExt_ExtraTrees,robust,accuracy,0.29000000000000004,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.56,0.31677613017944467,0.5106382978723404,0.32,0.5714285714285714,0.41025641025641024,0.4978354978354978,0.05157877405578002,16,17,6,8,107,0,30,14,15
DAIC_only,AudioExt_ExtraTrees,robust,f1,0.29000000000000004,0.6857142857142857,0.5384615384615384,0.5833333333333334,0.56,0.31677613017944467,0.5106382978723404,0.32,0.5714285714285714,0.41025641025641024,0.4978354978354978,0.05157877405578002,16,17,6,8,107,0,30,14,15
DAIC_plus_external_audio,AudioExt_ExtraTrees,standard,f1,0.22000000000000003,0.6857142857142857,0.5294117647058824,0.75,0.6206896551724138,0.3819510642945919,0.48936170212765956,0.3333333333333333,0.7142857142857143,0.45454545454545453,0.6201298701298701,0.10300633343611347,13,20,4,10,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_GradientBoosting,standard,f1,0.09000000000000001,0.6285714285714286,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.3440312310280933,0.48936170212765956,0.3333333333333333,0.7142857142857143,0.45454545454545453,0.5541125541125541,0.10300633343611347,13,20,4,10,107,800,30,14,15
DAIC_plus_external_audio,AudioExt_ExtraTrees,robust,f1,0.22000000000000003,0.6857142857142857,0.5294117647058824,0.75,0.6206896551724138,0.3819510642945919,0.48936170212765956,0.3333333333333333,0.7142857142857143,0.45454545454545453,0.6201298701298701,0.10300633343611347,13,20,4,10,107,800,30,14,15
