candidate,weights,threshold,Dev_Accuracy,Dev_Precision,Dev_Recall,Dev_F1,Dev_AUC,Dev_MCC,Dev_TN,Dev_FP,Dev_FN,Dev_TP,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,Test_MCC,Test_TN,Test_FP,Test_FN,Test_TP
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.125;GradientBoostingClf:0.250;RandomForestClf:0.250;ExtraTreesClf:0.250;SVC_RBF:0.125,0.5000000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5652173913043478,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7922077922077922,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.111;GradientBoostingClf:0.222;RandomForestClf:0.222;ExtraTreesClf:0.222;SVC_RBF:0.222,0.4800000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5507246376811594,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7943722943722944,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.100;GradientBoostingClf:0.200;RandomForestClf:0.200;ExtraTreesClf:0.200;SVC_RBF:0.300,0.4700000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5507246376811594,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7922077922077922,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.125;GradientBoostingClf:0.250;RandomForestClf:0.250;ExtraTreesClf:0.375,0.5200000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5797101449275363,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.79004329004329,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.111;GradientBoostingClf:0.222;RandomForestClf:0.222;ExtraTreesClf:0.333;SVC_RBF:0.111,0.5000000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5760869565217391,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7922077922077922,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.167;GradientBoostingClf:0.333;RandomForestClf:0.500,0.5100000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5217391304347826,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.8051948051948051,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.143;GradientBoostingClf:0.286;RandomForestClf:0.429;SVC_RBF:0.143,0.4900000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5181159420289855,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.8073593073593074,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.125;GradientBoostingClf:0.250;RandomForestClf:0.375;SVC_RBF:0.250,0.4800000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5217391304347826,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.803030303030303,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.111;GradientBoostingClf:0.222;RandomForestClf:0.333;SVC_RBF:0.333,0.4700000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5181159420289855,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.8008658008658008,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.143;GradientBoostingClf:0.286;RandomForestClf:0.429;ExtraTreesClf:0.143,0.5100000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5652173913043479,0.2374290399669085,23,0,11,1,0.7872340425531915,0.8333333333333334,0.35714285714285715,0.5,0.7987012987012987,0.4479075736395105,32,1,9,5
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.125;GradientBoostingClf:0.250;RandomForestClf:0.375;ExtraTreesClf:0.125;SVC_RBF:0.125,0.5000000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5434782608695652,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7965367965367964,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.111;GradientBoostingClf:0.222;RandomForestClf:0.333;ExtraTreesClf:0.111;SVC_RBF:0.222,0.4800000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5434782608695652,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7943722943722943,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.100;GradientBoostingClf:0.200;RandomForestClf:0.300;ExtraTreesClf:0.100;SVC_RBF:0.300,0.4700000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5434782608695652,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.79004329004329,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.125;GradientBoostingClf:0.250;RandomForestClf:0.375;ExtraTreesClf:0.250,0.5100000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.568840579710145,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7922077922077922,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.100;GradientBoostingClf:0.200;RandomForestClf:0.300;ExtraTreesClf:0.200;SVC_RBF:0.200,0.4800000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.5543478260869565,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.7987012987012987,0.4682617889493368,33,0,10,4
WeightedSoftVoting,GradientBoostingClf_Accuracy:0.125;GradientBoostingClf:0.250;LogisticRegression:0.125;ExtraTreesClf:0.375;SVC_RBF:0.125,0.5700000000000001,0.6857142857142857,1.0,0.08333333333333333,0.15384615384615385,0.572463768115942,0.2374290399669085,23,0,11,1,0.7872340425531915,1.0,0.2857142857142857,0.4444444444444444,0.79004329004329,0.4682617889493368,33,0,10,4
